Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"bluetooth adapter for stereo receiver",4136,Electronics,FBA,"Large Standard-Size",1,14231,25.42,2011,37878.83,5572,4.22,2,38921,-14,194,0,"Mar, 2022",4,4000,1.05
"70mai dash cam",4136,Electronics,FBA,"Large Standard-Size",2,16792,75.32,2156,195682.17,1859,4.12,2,27959,56,-38,0,"Dec, 2023",4,186,2.30
"usb hub for pc",4136,Electronics,FBA,"Large Standard-Size",4,4991,18.49,1576,25501.25,3631,4.27,2,14698,-38,-18,0,"Sep, 2023",5,1000,2.93
"recessed power strip",4136,Electronics,FBA,"Large Standard-Size",5,19390,27.24,486,11895,748,4.56,1,4508,-14,48,0,"Jan, 2024",4,368,3.10
"bose sound bar",4136,Electronics,FBA,"Small Oversize",3,32311,444.37,1143,227337.08,1967,4.38,6,14092,42,-84,0,"Dec, 2023",6,184,1.48
"gaming tablet",4136,Electronics,FBA,"Large Standard-Size",6,23380,231.77,937,140190.68,2679,4.35,4,22447,-47,0,0,"Jan, 2024",7,10000,2.48
"jbl wireless headphones",4136,Electronics,FBM,"Large Standard-Size",6,4429,67.07,4709,280540.88,7592,4.33,9,46412,156,0,117,"Dec, 2023",7,853,0.73
"sony remote control for smart tv",4136,Electronics,FBA,"Large Standard-Size",1,9776,22.12,897,13544.04,823,4.20,3,10252,200,85,0,"Jan, 2024",3,723,3.40
"samsung odyssey g5",4136,Electronics,Amazon,"Small Oversize",4,13410,526.29,868,336214.84,2909,4.39,6,11070,24,-87,12,"Nov, 2023",4,115,0.97
"fire stick remote",10656,Electronics,FBA,"Large Standard-Size",2,11291,15.85,1303,20427.85,87,4.33,4,,,0,-2,"Jan, 2024",7,819,37.92
"waterproof camera",10656,Electronics,FBA,"Large Standard-Size",4,13938,79.82,863,61469.07,3156,4.21,5,19489,10,0,0,"Jan, 2024",8,40000,2.60
"over ear bluetooth headphones",10656,Electronics,FBA,"Large Standard-Size",7,1855,53.28,7437,400679.41,16249,4.52,3,94754,187,0,2,"Jan, 2024",8,4000,1.48
"edifier speakers",10656,Electronics,FBA,"Large Standard-Size",2,61113,228.18,409,61595.92,5127,4.48,4,9246,-32,-43,8,"Dec, 2023",5,188,0.23
"tablo tv 4th generation with antenna",10494,Electronics,FBA,"Large Standard-Size",0,19333,44.49,1822,75403.28,5497,4.20,3,,,0,-5,"Jan, 2024",1,161,8.99
"starlink ethernet adapter",10172,Electronics,FBA,"Large Standard-Size",2,137158,27.69,181,3262,74,4.83,2,,,0,-3,"Jan, 2024",3,162,3.56
marshall,10071,Electronics,Amazon,"Large Standard-Size",2,17729,220.4,442,69458.98,2549,4.46,8,5230,,-82,0,"Nov, 2023",10,5000,0.66
"34 inch curved monitor",10071,Electronics,Amazon,"Small Oversize",5,13296,330.18,857,266794.53,3383,4.51,11,7059,12964,-68,0,"Nov, 2023",6,303,0.66
walkman,10069,Electronics,FBA,"Large Standard-Size",2,15536,45.89,875,20851.89,1751,3.99,3,12578,-12,-45,0,"Dec, 2022",8,922,2.41
"bose quietcomfort 45",10069,Electronics,FBM,"Large Standard-Size",4,53146,257.59,1276,344830.61,11563,4.51,4,30898,20,0,4,"Dec, 2023",4,142,4.54
"fitbit charge 5 bands",10069,Electronics,FBA,"Small Standard-Size",14,29825,10.73,267,2686.38,569,4.40,2,3243,0,0,0,"Jan, 2023",5,1000,1.16
moniter,10069,Electronics,Amazon,"Small Oversize",5,1399,147.72,3906,447273.33,8534,4.46,6,51104,13,0,3,"Jan, 2024",8,834,1.43
"100 inch tv",10068,Electronics,Amazon,"Special Oversize",12,198060,3020.47,220,325901,473,4.10,11,1062,13,0,0,"Nov, 2023",5,136,1.97
"google chrome",10068,Electronics,FBA,"Large Standard-Size",2,10473,139.36,2192,86324.65,3817,4.35,19,33891,126,-16,41,"Feb, 2023",7,956,2.43
"apple tv 4k+",10066,Electronics,FBA,"Large Standard-Size",4,8611,48.47,9384,500348.23,24388,4.63,10,141615,12,185,0,"Jan, 2023",6,115,1.55
"universal tv remote",10063,Electronics,FBA,"Large Standard-Size",2,4365,11.95,5797,55318.91,8292,4.27,2,74630,36,209,0,"Jan, 2024",8,7000,2.25
"wireless headphones with mic",10063,Electronics,FBA,"Large Standard-Size",5,2849,40.03,5055,180672.99,8527,4.31,4,82770,3,14,3,"Jan, 2024",7,10000,1.44
"ipad 10",10063,Electronics,FBA,"Large Standard-Size",10,1507,149.39,9501,2040629.68,4611,4.56,6,20069,99,0,-5,"Jan, 2024",7,1000,2.33
"display port cable",10063,Electronics,FBA,"Large Standard-Size",7,5499,9.49,1929,15779.48,10230,4.75,4,19261,12,71,0,"Aug, 2022",7,4000,0.32
"crosley record player",10061,Electronics,Amazon,"Small Oversize",8,91129,115.19,128,9411.37,4628,4.34,4,2615,64,-56,-9,"Dec, 2023",6,352,0.75
"vr glasses",10061,Electronics,FBA,"Large Standard-Size",3,17284,269.78,1117,391005.55,7240,3.99,11,57046,-46,0,0,"Mar, 2022",7,5000,1.45
"iphone headphone adapter",10059,Electronics,FBA,"Small Standard-Size",4,3738,8.41,5233,44628.12,17396,4.06,2,83147,,111,0,"Jan, 2024",8,1000,2.12
"gps trackers",10057,Electronics,FBA,"Large Standard-Size",1,13537,51.27,1975,50504.33,4884,4.15,2,27785,11,0,0,"Jun, 2022",9,789,4.88
"subwoofer cable",10057,Electronics,FBA,"Large Standard-Size",5,17266,15.14,690,8493.77,5345,4.72,2,8251,84,145,0,"Jan, 2024",7,1000,0.37
"bose headphones replacement ear pads",10057,Electronics,FBA,"Large Standard-Size",6,11928,17.81,1334,25085.04,5807,4.63,2,16707,118,140,0,"Aug, 2022",5,558,0.31
"kz zs10 pro",10056,Electronics,FBA,"Large Standard-Size",17,59595,45.99,317,11815.68,2904,4.48,1,4078,242,183,0,"Jan, 2023",3,171,0.15
"canon r50",10056,Electronics,FBM,"Large Standard-Size",1,192206,757.31,44,28543.54,102,4.23,3,236,-28,0,3,"Dec, 2023",4,170,1.60
"car stereo with bluetooth",10056,Electronics,FBA,"Large Standard-Size",2,5694,68.82,857,50656.14,2375,4.15,11,10801,4,49,0,"Jan, 2024",8,9000,3.17
vcr,10056,Electronics,FBA,"Small Oversize",0,52370,593,42,30432,228,3.83,2,230,-23,140,-15,"Mar, 2022",8,2000,0.25
"point and shoot digital cameras",10054,Electronics,Amazon,"Large Standard-Size",4,20529,197.81,376,104026.36,1315,4.24,7,5757,1332,-64,0,"Dec, 2023",6,980,1.80
"waterproof speaker",10054,Electronics,FBA,"Large Standard-Size",10,1848,36.64,4728,178240.34,34333,4.59,5,30788,,-80,-14,"Dec, 2023",9,2000,0.31
"wireless speakers with bluetooth",10054,Electronics,FBA,"Large Standard-Size",7,1774,61,5748,241357.72,38790,4.58,5,36648,17,36,2,"Dec, 2023",9,4000,0.37
"harman kardon",10054,Electronics,FBA,"Small Oversize",1,63883,244.84,135,20990.85,1252,4.49,8,537,71,-44,-5,"Nov, 2023",8,773,1.01
"alpine car stereo",10051,Electronics,FBA,"Large Standard-Size",1,35466,217.9,259,35892.33,632,4.45,16,3852,66,-49,0,"Dec, 2023",6,1000,3.89
"blink floodlight camera",10051,Electronics,FBA,"Large Standard-Size",0,113786,42.49,53,2061.98,150,4.40,1,520,-86,113,-53,"Jul, 2022",4,149,1.10
"wire covers for cords",10049,Electronics,FBA,"Large Standard-Size",12,1496,12.73,4543,55834.95,12306,4.55,4,49182,-18,115,0,"Mar, 2022",5,3000,1.65
"car tracker device hidden",10049,Electronics,FBA,"Large Standard-Size",1,10706,34.01,2008,39439.74,5922,4.05,2,32291,8,0,0,"Oct, 2023",4,417,6.05
"galaxy tablet",10049,Electronics,FBA,"Large Standard-Size",9,10654,331.76,1042,233747.94,5046,4.46,9,10714,12,0,3,"Feb, 2024",9,816,4.24
"airpods case 3rd generation",10047,Electronics,FBA,"Large Standard-Size",19,5683,8.27,1297,8779.6,1466,4.47,2,12188,,0,0,"Jan, 2024",7,3000,5.92
"msi monitor",10047,Electronics,Amazon,"Small Oversize",3,23389,220.73,314,62657.07,718,4.39,13,1830,27,0,-13,"Nov, 2023",6,251,7.27
"wall outlet extender",10047,Electronics,FBA,"Large Standard-Size",3,1011,13.12,13056,190227.97,18168,4.67,2,160018,28,0,0,"Jan, 2024",5,1000,2.46
"dual monitor",10047,Electronics,FBA,"Small Oversize",4,19271,193.38,2664,257548.42,4047,4.44,3,31610,0,-62,3,"Jan, 2024",9,3000,3.43
"voice recorder with playback",10046,Electronics,FBA,"Large Standard-Size",1,4981,33.33,1461,55957.37,3569,4.38,5,24572,-2,0,0,"Jan, 2024",4,668,3.57
"gaming monitor curved",10046,Electronics,Amazon,"Small Oversize",6,4040,210.96,1971,362677.4,5545,4.47,5,23522,58,-28,3,"Dec, 2023",7,966,0.50
"stereo system for home",10046,Electronics,FBA,"Small Oversize",1,13039,129.29,594,66870.84,1834,4.20,3,6530,-15,41,0,"Dec, 2023",7,10000,1.12
"shokz openrun pro",10046,Electronics,FBA,"Large Standard-Size",4,31015,89.06,2336,262312.87,4778,4.43,3,39334,43,0,-14,"Jan, 2024",3,96,3.22
"server rack",10044,Electronics,Amazon,"Small Oversize",4,2422,63.99,1532,98032.68,2409,4.80,32,17545,,141,9,"Jan, 2023",7,997,0.64
"extension cord 10+ ft",10044,Electronics,FBA,"Large Standard-Size",11,2725,16.07,8892,111297.52,7369,4.77,2,120561,41,0,18,"Jan, 2024",6,2000,3.25
"air pod case",10042,Electronics,FBA,"Large Standard-Size",21,7858,7.23,1752,11425.17,8550,4.53,2,14864,-2,33,0,"Jan, 2024",6,9000,4.40
"canon g7x mark ii",10042,Electronics,FBM,"Large Standard-Size",5,18425,495.4,3585,228207.49,1360,4.48,4,35852,70,-82,19,"Dec, 2023",5,182,1.95
"mini photo printer",10041,Electronics,FBA,"Large Standard-Size",7,12007,75.64,1453,124757.01,4539,4.43,5,16360,13,-61,0,"Dec, 2023",6,951,8.46
"surround sound",10041,Electronics,FBA,"Small Oversize",4,12734,232.34,859,126853.99,2431,4.21,6,11364,-26,13,0,"Oct, 2023",9,1000,1.00
"4k webcam",10041,Electronics,FBA,"Large Standard-Size",0,18730,87.95,108,9498.6,54,4.30,6,,,0,-14,"Jan, 2024",5,499,2.00
"portable dvd player with screen",10037,Electronics,FBA,"Large Standard-Size",2,9774,76.22,605,46312.43,2967,4.37,2,11345,-14,0,0,"May, 2022",6,266,1.62
"backup camera for truck",10037,Electronics,FBA,"Large Standard-Size",1,7622,59.69,876,53588.83,3938,4.43,2,13294,2,-26,0,"Mar, 2022",6,3000,0.78
"microsoft surface pro 9",10032,Electronics,FBM,"Large Standard-Size",5,111228,1321.67,195,208701.08,63,4.54,9,237,,0,-11,"Jan, 2024",4,227,6.31
"pixel buds",10030,Electronics,Amazon,"Large Standard-Size",4,58665,63.97,4345,247066.1,24750,3.91,5,39064,728,0,0,"Nov, 2023",6,779,1.37
"black zip ties",10030,Electronics,FBA,"Large Standard-Size",5,2715,8.02,3246,22870.92,5204,4.60,2,55546,-14,0,0,"May, 2023",5,1000,2.94
"apple ipad 9th generation",10030,Electronics,Amazon,"Large Standard-Size",32,17,349,26454,9232446,9913,4.80,4,,,0,-4,"Jan, 2024",6,197,2.67
"hp sprocket photo printer",10030,Electronics,Amazon,"Large Standard-Size",4,66799,118.51,1329,65437.28,4923,4.37,4,18730,-19,-69,0,"Dec, 2022",6,106,0.83
"speaker stands",10029,Electronics,FBA,"Large Standard-Size",3,9433,58.65,891,45898.88,3037,4.58,2,13039,-10,0,0,"Jan, 2024",8,1000,3.10
"sceptre monitor",10027,Electronics,Amazon,"Small Oversize",3,7001,135.89,2428,300447.86,6995,4.52,4,31016,1896,556,3,"Dec, 2023",6,346,2.44
"plug extension outlet",10027,Electronics,FBA,"Large Standard-Size",5,442,12.19,16017,207931.61,14386,4.73,5,174770,688,125,-2,"Jan, 2024",5,2000,2.93
"fire stick 4k+ max",10024,Electronics,FBA,"Large Standard-Size",4,17052,27.42,7892,320146.43,18827,4.30,14,147382,-5,19,41,"Jan, 2024",6,163,22.14
"bocina jbl",10024,Electronics,FBA,"Large Standard-Size",12,3569,179.37,2791,249252.18,22631,4.70,12,30142,37,-42,20,"Dec, 2023",6,749,2.43
"tracking devices for cars hidden",9879,Electronics,FBA,"Large Standard-Size",1,15303,32.01,3975,84069.7,15130,3.95,2,75809,4,0,0,"Jan, 2024",4,414,5.51
"asus rog ally",9879,Electronics,FBM,"Large Standard-Size",5,36318,338.54,349,21805.97,167,4.07,3,13356,,0,0,"Jan, 2024",4,1000,4.49
"tablet for kids",9879,Electronics,FBA,"Large Standard-Size",5,10129,61.26,982,87002.5,2408,4.04,2,24425,27,-1,19,"Dec, 2023",9,789,4.11
"google pixel watch",9879,Electronics,FBA,"Large Standard-Size",5,9038,102.21,2154,272178.19,4612,4.32,7,15035,4,0,0,"Jan, 2024",5,168,2.39
"pocket router",9875,Electronics,FBA,"Large Standard-Size",1,28215,69.25,974,82110.75,2228,4.19,4,9949,16,0,0,"Jan, 2024",4,358,1.46
"versa 2 bands for woman",9874,Electronics,FBA,"Small Standard-Size",21,10854,10.14,495,5272.36,3939,4.54,2,9265,-42,64,0,"Jan, 2024",1,2000,3.08
"fitbit charge 6 bands",9870,Electronics,FBA,"Small Standard-Size",12,22558,18.84,2042,226681.8,1051,4.25,2,8435,17,0,0,"Jan, 2024",4,858,2.29
"android auto",9869,Electronics,FBA,"Large Standard-Size",2,13824,82.85,1180,91820.29,1553,4.19,3,24553,16,148,-20,"Jan, 2024",7,8000,4.46
"samsung smart tv remote",9864,Electronics,FBA,"Large Standard-Size",2,3502,15.13,6393,70078.68,9000,4.42,4,72782,,227,-6,"Jan, 2024",6,2000,1.39
"garmin instinct",9860,Electronics,FBA,"Large Standard-Size",6,60946,300.01,217,71351.68,14728,4.63,7,2666,-47,0,0,"Jul, 2022",6,401,0.24
"27 inch curved monitor",9859,Electronics,Amazon,"Small Oversize",6,7534,162.19,1056,171080.64,4687,4.50,7,14357,111,-71,34,"Nov, 2023",6,488,0.49
"sony headphones wireless bluetooth",9857,Electronics,Amazon,"Large Standard-Size",3,12489,128.36,2545,294223.01,12869,4.43,10,38696,-76,-28,7,"Dec, 2023",5,359,0.46
"car dash cam",9857,Electronics,FBA,"Large Standard-Size",1,2883,64.68,3307,263457.29,4902,4.38,2,46646,68,0,1,"Jan, 2024",7,2000,3.94
"air tags-2 pack apple device",9853,Electronics,FBA,"Small Standard-Size",5,8660,26.08,12048,521827.51,35208,4.48,2,229573,7,8,4,"Dec, 2023",3,713,6.75
stereo,9852,Electronics,FBA,"Large Standard-Size",1,9095,73.41,897,60569.69,2626,4.06,2,8514,2,41,0,"Jan, 2024",10,40000,1.61
"roku soundbar",9852,Electronics,Amazon,"Small Oversize",2,14227,116.13,1989,167230.06,2962,4.35,6,24780,-35,47,-26,"Jan, 2024",4,252,2.03
"universal tv stand",9801,Electronics,FBA,"Large Standard-Size",1,3945,31.31,3226,101705.24,9768,4.56,2,38187,81,139,-4,"Jan, 2024",6,1000,1.12
"sleep earbuds",9801,Electronics,FBA,"Large Standard-Size",5,16738,29.8,3398,81659.38,10312,4.19,2,10051,31,0,0,"Jan, 2024",6,2000,2.47
"canon r5",9801,Electronics,FBM,"Large Standard-Size",5,313749,3380.11,79,169080.78,204,4.52,6,1589,-51,0,0,"Dec, 2023",4,194,0.97
"apple ipad pro",9801,Electronics,Amazon,"Large Standard-Size",14,4912,782.74,1172,1257316.11,1575,4.67,5,42050,,-21,4,"Nov, 2023",8,256,0.69
"cord management",9800,Electronics,FBA,"Large Standard-Size",8,945,13.44,7090,81684.32,12113,4.58,3,78033,0,66,-4,"Jan, 2024",7,8000,3.60
"sony bluetooth speaker",9800,Electronics,FBA,"Large Standard-Size",4,30616,200.76,1534,143309.31,14265,4.55,8,2557,-19,-89,30,"Jun, 2023",7,269,0.40
"4k fire tv stick",9800,Electronics,FBA,"Large Standard-Size",1,22132,38.17,12281,517599.76,30231,4.46,22,238025,-22,19,41,"Mar, 2022",6,228,1.82
"toshiba fire tv remote replacement",9800,Electronics,FBA,"Large Standard-Size",3,11992,13.14,1649,18353.06,1398,4.38,2,3518,-49,0,0,"Jan, 2024",3,489,8.90
"headphone splitter",9800,Electronics,FBA,"Small Standard-Size",14,7484,7.82,1237,9021.98,5504,4.46,3,10705,81,24,0,"Jan, 2024",8,1000,3.02
"workout music playlist",9798,Electronics,FBA,"Large Standard-Size",6,18892,100.2,429,91474.9,8157,4.25,5,220,-11,-82,2,"Jan, 2024",4,10000,2.93
"clock radio",9798,Electronics,FBA,"Large Standard-Size",4,12570,23.13,2208,44592.66,6024,4.20,3,23359,-16,0,0,"Dec, 2023",9,1000,1.27
"dji action 4",9796,Electronics,Amazon,"Large Standard-Size",3,55895,322.84,347,116343.21,1950,4.36,8,962,-68,638,0,"Aug, 2023",4,219,4.67
"fire tv cube",9796,Electronics,Amazon,"Large Standard-Size",2,5062,55.51,8382,423358.71,9043,4.56,16,120059,-40,-62,0,"Jan, 2024",5,518,10.46
"tv box",9793,Electronics,FBA,"Large Standard-Size",2,24042,36.21,1917,59092.83,3665,3.89,6,43420,882,51,0,"Jan, 2024",10,1000,1.36
"wireless earbuds for android",9793,Electronics,FBA,"Large Standard-Size",8,1698,25.84,9470,229080.4,30238,4.52,3,104878,,0,0,"Jan, 2024",6,4000,3.96
"tcl qm8",9793,Electronics,Amazon,"Large Oversize",8,35447,1001.03,544,424598.33,427,4.33,10,815,,-15,-3,"Nov, 2023",4,43,3.33
"anker soundcore",9791,Electronics,FBA,"Large Standard-Size",3,2273,63.38,5901,292262.49,31327,4.40,2,29612,,0,2,"Jan, 2024",7,1000,1.66
"bluetooth headphones with mic",9791,Electronics,FBA,"Large Standard-Size",4,1393,33.97,5246,166177.64,7817,4.38,4,76175,3,87,0,"Jan, 2024",7,9000,1.47
"fitbit versa",9789,Electronics,FBA,"Large Standard-Size",2,18184,144.27,1478,164694.89,7000,4.29,8,12017,39,0,18,"Oct, 2023",8,319,2.91
"apple air tags",9789,Electronics,FBA,"Small Standard-Size",6,14148,20.25,12977,478947.83,23694,4.55,2,194183,-22,0,4,"Jan, 2024",7,171,40.92
dac,9789,Electronics,FBA,"Large Standard-Size",2,20182,119.7,492,26592.18,3050,4.38,6,5698,-43,-20,0,"Jan, 2023",8,4000,0.70
"samsung remote replacement",9788,Electronics,FBA,"Large Standard-Size",3,1955,16.35,6443,75037.38,9544,4.41,3,79644,,227,0,"Jan, 2024",6,4000,5.03
"coros pace 3",9788,Electronics,FBA,"Large Standard-Size",4,37467,165.15,474,78643.67,1204,4.34,5,8864,14,53,0,"Jan, 2024",3,125,3.44
"gps tracker for vehicles no monthly fee",9788,Electronics,FBA,"Large Standard-Size",1,21910,32.37,1944,47211.95,5475,3.81,3,34586,-9,0,0,"Jan, 2024",4,467,6.91
"beats by dre",9788,Electronics,Amazon,"Large Standard-Size",12,13793,146.02,4493,746217.82,29940,4.47,6,54447,,-29,8,"Dec, 2022",9,1000,6.46
"wallet tracker",9788,Electronics,FBA,"Small Standard-Size",3,8768,29.07,3573,92109.87,12790,4.25,3,66267,-26,-17,0,"Dec, 2022",6,1000,3.01
"magic box",9786,Electronics,FBA,"Large Standard-Size",1,38299,176.85,131,21833.02,116,3.76,2,2880,,0,-4,"Jan, 2024",8,353,6.61
"beats fit pro case",9786,Electronics,FBA,"Large Standard-Size",10,49918,13.69,213,3341.11,723,4.17,2,3181,-22,51,0,"Jan, 2023",4,507,1.22
"apple air tags-2 pack sale",9784,Electronics,FBA,"Small Standard-Size",5,6842,22.81,14145,595737.44,40297,4.49,2,323118,7,8,3,"Sep, 2023",2,254,2.67
"insta360 x3",9784,Electronics,FBA,"Large Standard-Size",2,35334,391.76,410,110162.27,715,4.42,4,5447,531,82,4,"Jun, 2023",5,1000,1.23
"roku stick remote replacement",9781,Electronics,FBA,"Large Standard-Size",2,4765,16.4,7988,201739.34,12359,4.34,7,115061,327,74,0,"Sep, 2023",5,833,2.07
"beats flex",9781,Electronics,FBA,"Large Standard-Size",10,7329,50.64,3872,276032.34,13644,4.33,4,47847,108,-4,-1,"Jan, 2024",4,143,1.41
"surround sound system",9776,Electronics,FBA,"Small Oversize",3,13206,252.84,838,144321.12,2334,4.30,12,9729,-6,18,0,"Jan, 2024",8,931,1.00
"10 inch subwoofer",9774,Electronics,FBA,"Large Standard-Size",3,57372,79.61,67,5540.93,870,4.43,10,1031,-21,-82,18,"Apr, 2022",7,980,0.32
"boox palma",9774,Electronics,FBA,"Large Standard-Size",2,99231,342.35,270,81189.39,534,3.70,2,5279,-27,53,0,"Jan, 2024",2,110,4.47
boox,9774,Electronics,FBA,"Large Standard-Size",1,37352,326.17,578,95400.77,1145,4.05,3,10404,64,53,0,"Jan, 2024",6,358,10.23
"apple car play wireless adapter",9774,Electronics,FBA,"Small Standard-Size",3,7816,63.14,1324,86591.17,734,4.27,2,13712,,0,-26,"Jan, 2024",3,1000,7.58
"4 channel amplifier car audio",9773,Electronics,FBA,"Large Standard-Size",1,43379,120.34,125,13627.51,712,4.36,9,1832,-2,0,14,"May, 2023",5,1000,0.54
"apple watch 8",9771,Electronics,FBM,"Large Standard-Size",13,27886,289.9,446,112698.5,1631,4.35,10,19579,-6,8,-18,"Dec, 2022",7,208,10.04
"sync module 2 for blink camera",9771,Electronics,FBA,"Large Standard-Size",0,2544,9.99,1027,10259.73,1279,4.70,1,3336,,86,-1,"Jan, 2024",4,189,0.81
"key finder",9771,Electronics,FBA,"Large Standard-Size",2,13020,20.11,2315,47787.91,3913,4.29,2,29938,7,-17,0,"Dec, 2022",8,797,3.36
"iem earphones",9771,Electronics,FBA,"Large Standard-Size",9,23038,62.89,685,31013.44,3141,4.40,5,7250,75,0,0,"Jan, 2024",4,979,2.47
"airpods pro 2 case",9769,Electronics,FBA,"Large Standard-Size",18,5530,9.11,2453,21327.03,2694,4.49,2,23780,,0,0,"Jan, 2024",6,4000,6.67
"iphone adapter",9768,Electronics,FBA,"Small Standard-Size",3,4103,8.89,8363,85423.54,42858,3.98,2,115364,28,56,0,"Sep, 2023",10,10000,1.80
"ipod case",9766,Electronics,FBA,"Large Standard-Size",27,8182,7.53,1907,11961.2,13506,4.56,2,15529,,0,0,"Jan, 2024",10,3000,2.95
"autosky wireless carplay adapter",9764,Electronics,FBA,"Small Standard-Size",2,24729,62.22,915,60066.14,366,3.68,2,9941,,0,0,"Jan, 2024",2,245,9.81
"touch screen monitor",9764,Electronics,FBA,"Small Oversize",2,27416,265.98,129,30286.72,495,4.27,8,1460,-26,0,0,"Jan, 2024",7,1000,3.94
"jbl speaker bluetooth",9762,Electronics,FBA,"Large Standard-Size",12,3338,117.17,2767,212223.61,27686,4.72,9,36810,37,-94,-4,"Dec, 2023",8,1000,2.21
"sony walkman",9759,Electronics,FBA,"Large Standard-Size",2,40910,188.67,404,18217.84,1436,4.00,4,5783,-36,-40,0,"Dec, 2023",7,362,0.81
"power cord",9759,Electronics,FBA,"Large Standard-Size",8,1987,10.58,11681,116893.38,14572,4.75,4,123166,55,181,0,"Jan, 2024",10,90000,2.00
"status audio earbuds",9759,Electronics,FBA,"Large Standard-Size",6,10036,82.31,4513,392584.55,9628,4.28,3,58974,,0,0,"Jan, 2024",3,564,1.46
"airpods pro case cover",9757,Electronics,FBA,"Large Standard-Size",26,2458,8.35,1946,13578.69,12221,4.45,2,28866,20,0,0,"Jan, 2024",6,6000,8.71
"dji osmo",9756,Electronics,Amazon,"Large Standard-Size",4,33790,267.45,1316,208017.23,4116,4.44,9,1857,-67,35,0,"Nov, 2023",7,2000,1.35
"music player",9756,Electronics,FBA,"Large Standard-Size",7,8917,55.38,668,32819.14,2197,3.93,4,8744,-41,-52,0,"Dec, 2023",8,7000,1.78
"audio cable",9756,Electronics,Amazon,"Large Standard-Size",13,5607,8.02,5828,55312.85,41113,4.67,2,35027,-14,0,0,"Jan, 2024",9,7000,1.07
"85 inch tv wall mount",9754,Electronics,FBA,"Large Standard-Size",0,3738,57.09,2447,148994.87,4524,4.69,2,,,35,-1,"Jan, 2024",4,342,3.48
"over the ear headphones",9754,Electronics,FBA,"Large Standard-Size",6,1080,85.92,7639,481698.9,19441,4.53,5,108564,97,0,-6,"Jan, 2024",9,5000,2.21
"gym headphones",9754,Electronics,FBA,"Large Standard-Size",7,1418,55.66,6358,324243.98,12518,4.46,4,76112,,0,117,"Dec, 2023",6,3000,1.41
kpkue,9754,Electronics,FBA,"Large Standard-Size",2,584583,294.99,196,28383.04,1321,3.90,2,6379,,-28,-18,"Jul, 2023",2,4,0.25
"rca to 3.5mm",9752,Electronics,FBA,"Small Standard-Size",6,9827,7.39,1161,7862.23,8950,4.65,2,9297,71,0,0,"Jan, 2024",5,849,1.31
"canon g7x mark iii",9751,Electronics,FBM,"Large Standard-Size",1,51909,1007.57,83,24313.58,227,4.58,4,3115,-10,0,20,"Dec, 2023",4,639,3.88
"laptop holder",9751,Electronics,FBA,"Large Standard-Size",6,622,38,6043,225941.19,29553,4.60,4,23802,6,160,0,"Oct, 2023",7,1000,0.39
"power tower",9749,Electronics,FBA,"Large Standard-Size",6,17508,75.97,1389,90701.15,3932,4.48,2,19927,-16,0,0,"Jan, 2024",7,490,2.55
"apple air pods",9749,Electronics,Amazon,"Large Standard-Size",6,3452,112.33,13164,1369309.57,97031,4.51,6,166971,,0,-8,"Jan, 2024",7,137,0.87
"apple watch series 3",9747,Electronics,FBA,"Large Standard-Size",22,2911,65.59,18300,1060917.06,154921,4.48,3,218825,,-29,0,"Nov, 2023",9,229,0.81
"beats wireless headphones",9747,Electronics,FBM,"Large Standard-Size",11,3572,153.52,6076,877936.89,28971,4.51,5,75372,540,0,8,"Jan, 2024",8,2000,5.58
"roku express",9747,Electronics,FBA,"Large Standard-Size",1,27951,38.27,7441,323838.31,20724,4.47,19,111590,-5,54,0,"Jan, 2024",6,733,8.46
wolfbox,9746,Electronics,FBA,"Large Standard-Size",1,38524,113.88,473,49114.69,1010,4.32,2,7685,-16,-23,0,"May, 2022",5,162,1.90
"ear pods",9746,Electronics,FBA,"Large Standard-Size",7,993,59.48,13699,1255943.89,61539,4.48,3,171886,,0,2,"Jan, 2024",7,2000,1.05
"firestick remote",9744,Electronics,FBA,"Large Standard-Size",2,6448,14.4,1044,15342.22,76,4.34,3,,,0,-2,"Jan, 2024",6,677,19.22
kobo,9744,Electronics,FBM,"Large Standard-Size",4,162330,203.74,185,30669.24,1230,4.23,3,1823,-23,0,-4,"Dec, 2023",7,537,0.61
"samsung galaxy tab s9",9742,Electronics,Amazon,"Large Standard-Size",6,73317,672.99,666,207003.03,2791,4.44,9,8913,8,-110,-1,"Sep, 2023",5,169,2.79
"digital camera sony",9742,Electronics,FBA,"Large Standard-Size",6,44666,264,1985,127735.1,923,4.42,7,18299,82,30,-7,"Jan, 2024",6,1000,2.62
"wireless backup camera",9741,Electronics,FBA,"Large Standard-Size",1,14798,96.54,476,43889.1,1862,4.38,2,9319,-37,-26,-10,"Dec, 2023",7,2000,1.89
"airpod cases",9739,Electronics,FBA,"Large Standard-Size",20,5944,8.21,1474,9483.4,8343,4.56,2,12479,77,-34,0,"Jan, 2024",10,9000,2.73
"ipad air 4th generation",9739,Electronics,Amazon,"Large Standard-Size",17,21,232,24304,5890078,48607,4.75,4,,,0,-4,"Jan, 2024",6,2000,1.46
