Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
iptv,2838,Electronics,FBA,"Large Standard-Size",0,35801,128.22,171,23155.41,206,4.21,4,1840,63,0,0,"Jan, 2024",8,1000,20.59
"samsung earbuds case",2838,Electronics,FBA,"Large Standard-Size",16,19694,10.17,407,3954.2,2312,4.30,2,5726,-14,0,0,"Jan, 2023",5,551,1.12
"surge protector power strip with usb",2838,Electronics,FBA,"Large Standard-Size",4,416,18.84,12538,207868.65,14834,4.76,2,140312,7,80,-3,"Jan, 2024",6,1000,3.16
"tablet para niños",2838,Electronics,FBA,"Large Standard-Size",6,10468,58.59,823,62926.5,2322,3.96,2,20036,-6,0,-6,"Dec, 2023",5,131,3.76
"18 inch subwoofer",2838,Electronics,FBM,"Small Oversize",3,136997,434.95,44,27426.78,186,4.45,3,564,45,0,0,"Jul, 2023",5,236,2.36
"8 subwoofer",2838,Electronics,FBA,"Large Standard-Size",4,45357,71.91,69,4167.82,938,4.46,7,854,-19,0,0,"Apr, 2022",7,952,0.74
"jl audio subwoofer",2838,Electronics,FBM,"Small Oversize",2,85889,244.84,59,12263.96,327,4.48,10,856,-29,65,0,"May, 2022",6,312,0.26
"police siren",2838,Electronics,FBA,"Large Standard-Size",2,62221,56.37,120,4832.76,666,4.16,2,1837,-3,-22,0,"Jan, 2024",6,534,0.56
"firestick 4k max",2838,Electronics,FBA,"Large Standard-Size",3,15632,37.4,8351,473342.24,30101,4.13,19,111710,-29,387,0,"Nov, 2022",3,109,23.33
"bluray player 4k",2838,Electronics,FBA,"Large Standard-Size",1,26282,230.41,820,110769.81,1972,4.34,5,8778,-14,33,-1,"Jun, 2022",5,267,2.02
"sony xm4 headphones",2838,Electronics,FBM,"Large Standard-Size",4,81149,257.4,1814,439803.23,6089,4.48,9,20024,94,0,0,"Jan, 2024",3,144,1.59
"sonos subwoofer",2838,Electronics,FBM,"Small Oversize",3,22098,441.96,685,223240.9,4143,4.51,9,4094,-27,-72,16,"Nov, 2023",5,172,0.67
"roku tv 65",2838,Electronics,Amazon,"Large Oversize",9,50600,498.11,782,352372.47,5552,4.28,18,5900,-38,0,-2,"Nov, 2023",6,271,3.28
"lenovo thinkplus earbuds",2838,Electronics,FBA,"Large Standard-Size",4,42102,27.91,1182,39436.71,1716,4.24,3,1564,113,0,0,"Jan, 2024",3,195,9.28
"nikon z6",2838,Electronics,FBM,"Small Oversize",2,167235,1859.97,23,33722.79,125,4.43,7,319,-17,0,5,"Nov, 2022",4,157,0.34
"insta 360 go",2838,Electronics,FBA,"Large Standard-Size",3,74777,326.27,229,48942.83,464,4.40,3,2783,-55,0,-3,"Jul, 2023",3,168,1.67
"kids apple watch",2838,Electronics,FBA,"Small Standard-Size",11,24643,45.64,1795,167257.99,1550,4.12,2,20086,103,-77,-2,"Dec, 2023",6,164,1.58
"small surge protector",2838,Electronics,FBA,"Large Standard-Size",4,1826,12.52,9127,119076.2,11517,4.72,2,84246,97,80,0,"Jan, 2024",4,4000,1.89
"sleeping earbuds",2838,Electronics,FBA,"Large Standard-Size",8,9191,25.05,6280,151371.77,13057,4.15,2,113857,47,0,0,"Jan, 2024",6,2000,1.82
